Wall time,Step,Value
1535009036.0928507,5,0.10288261622190475
1535009586.4033735,15,0.10183075070381165
1535009751.1647608,18,0.10197386145591736
1535010081.3703618,24,0.10153069347143173
1535010966.2930496,40,0.1005232185125351
1535011077.0848818,42,0.10029350966215134
1535011187.1416593,44,0.09991245716810226
1535011243.5961754,45,0.10010843724012375
1535011354.8072994,47,0.10160580277442932
1535011686.025796,53,0.09923502057790756
1535011742.730189,54,0.09972875565290451
1535011850.5391722,56,0.09977230429649353
1535012346.9307287,65,0.09890106320381165
1535012675.2959116,71,0.09877973794937134
1535012731.0623252,72,0.09878910332918167
1535012787.17285,73,0.098591648042202
1535012841.738346,74,0.09822601079940796
1535013112.888025,79,0.09823779761791229
1535013566.5311053,87,0.09776216745376587
1535013961.1147306,94,0.09725122898817062
1535014405.7570157,102,0.09675069153308868
1535014572.1076255,105,0.09689633548259735
1535014629.101452,106,0.09695486724376678
1535015030.0912485,113,0.0964653342962265
1535015322.37564,118,0.09621020406484604
1535015804.6365907,126,0.09562452137470245
1535015967.3603394,129,0.09583855420351028
1535016020.9409513,130,0.09525177627801895
1535016523.1405394,139,0.09482178837060928
1535016642.120597,141,0.0947292298078537
1535016701.5624013,142,0.09475837647914886
1535017166.5144236,150,0.09484941512346268
1535017447.0645914,155,0.09423661231994629
1535017610.308571,158,0.09374505281448364
1535018127.8232334,167,0.0932965949177742
1535018184.5655627,168,0.09342993050813675
1535018699.306752,177,0.09196244925260544
1535018757.5385642,178,0.09289531409740448
1535019047.1398344,183,0.09154009819030762
1535019158.1766636,185,0.0908578410744667
1535019212.389926,186,0.09120297431945801
1535019428.5540535,190,0.09099577367305756
1535019897.1776068,198,0.09077385067939758
1535020367.0560508,206,0.0903516486287117
1535020427.0145385,207,0.09028340876102448
1535020486.166974,208,0.09029150754213333
1535020722.8607078,212,0.08981259167194366
1535021355.0682118,223,0.08649777621030807
1535021697.5001972,229,0.08553678542375565
1535021983.0840015,234,0.08502063900232315
1535022159.0571795,237,0.0851624459028244
1535022863.3971992,249,0.08427750319242477
1535023209.2392719,255,0.08325657248497009
1535023502.8658855,260,0.08344729989767075
1535023672.7789595,263,0.0835082158446312
1535023889.6762865,267,0.0832277312874794
1535024124.5168686,271,0.08292454481124878
1535024243.9308877,273,0.08374597132205963
1535025332.1062741,292,0.08186444640159607
1535025607.6870737,297,0.08193109184503555
1535025664.0237823,298,0.0812995433807373
1535025956.5863194,303,0.08164654672145844
1535026179.6289577,307,0.0812455415725708
1535026237.2347302,308,0.08142164349555969
1535026353.1258688,310,0.08129565417766571
1535026817.473615,318,0.08057162165641785
1535026873.7915199,319,0.08076338469982147
1535027211.424712,325,0.07993285357952118
1535027265.8411012,326,0.08007851243019104
1535027322.6044147,327,0.08037136495113373
1535027494.4374535,330,0.08016016334295273
1535028021.430937,339,0.08011041581630707
1535028481.5366015,347,0.07963553816080093
1535029436.5545444,363,0.07926936447620392
1535029683.4278443,367,0.0800989419221878
1535030058.5771935,373,0.07866208255290985
1535030296.358111,377,0.07842807471752167
1535030417.603883,379,0.07873883843421936
1535031179.00116,391,0.07789979130029678
1535031242.8958151,392,0.07773615419864655
1535032249.0182323,408,0.07695214450359344
1535033075.1327827,421,0.07624286413192749
1535033135.4335299,422,0.07676523178815842
1535033261.1068022,424,0.07646773010492325
1535033645.918315,430,0.07636987417936325
1535034211.2640917,439,0.07611243426799774
1535034336.0169957,441,0.07580064237117767
1535034399.7753725,442,0.0763104185461998
1535034593.664982,445,0.0758524239063263
1535034970.6597478,451,0.075758196413517
1535035532.9999967,460,0.07564184069633484
1535035729.0438855,463,0.0757795125246048
1535035794.2195032,464,0.07530314475297928
1535036360.2477524,473,0.07496172934770584
1535036422.0712242,474,0.07517018169164658
1535037367.016635,489,0.07406874001026154
1535037494.7397494,491,0.07453576475381851
1535037620.3997674,493,0.07411234080791473
1535038464.8145716,507,0.07385553419589996
1535038755.417821,512,0.07393193244934082
1535038875.7943769,514,0.07370343059301376
1535039062.285784,517,0.07304870337247849
1535039553.3519888,525,0.072866290807724
1535039917.3998725,531,0.07320059090852737
1535040039.197584,533,0.07267409563064575
1535040224.390696,536,0.07285521179437637
1535040599.8182662,542,0.07271226495504379
1535040925.5784144,547,0.0721244290471077
1535041566.9785292,557,0.07174317538738251
1535041693.6719468,559,0.07204245775938034
1535041949.6329215,563,0.07143721729516983
1535042329.0222123,569,0.07137639820575714
1535042580.8321729,573,0.07140334695577621
1535042643.9200609,574,0.07138731330633163
1535042967.6466153,579,0.07145975530147552
